ID,vernacular
d7b95034ac724ad4951e097781529071,mango soft scale
f3be5f2a3d7a4313b43d0ff029e6d351,fern scale
58ed3d86d6f7412084abed6c40f8be64,inday scale
b915d68dbacf44c79d69d8347a280c42,moth
2f11c5390f2c46069c472b393ae18025,moth
c8ce6e5f2abe464f8dcfacf50526af70,greenhouse thrips
e0b800b73bb84e7e899dc9fe8f22fcdf,>Breadfruit
a0ffe0f6cb574779893cb6ce8d7352b1,longhorn beetle
3fc246a411d042a981e089ef68bc0117,breadfruit twig borer weevil
2b6d685b51ec4f40aec599c6ebe087c1,breadfruit fruitfly
d7146f9252014a3598a83add440b785b,fruitfly
75d30179a97849fa8fe727dfb8398503,scale
ea3d1e3b65ea4cd3a943226b9eb393ee,coccid scale
ab5c0fd0aa5f4954a56eff73a669ac49,stellate scale
7052766edb7b480c9317d2d2f3326878,florida red scale
f1f8abc5c5d742bb97ed16907c7a80ce,white peach scale
056e823784a74508ae5ef10a9d2d745f,lilac mealybug
2ee1e1c91418425e9b3a948e5afec013,marshall mealybug
65dd3f138c7940eb932ded62b3545850,breadfruit whitefly
970468e377d14619ac1e90de73ad64dc,oleander pit scale
df41adef212b4be29c5208f1010845fc,cottony-cushion scale
7a3b90f7f2604924a9c7aaa4ff13ea24,ono breadfruit planthopper
ed256d4758024b67915a49531991c1d4,mealybug
a0b8695ea362404ba4e2984d630bb1d4,red wax scale
9548dae3640d4930b1f85bdb991948c2,Cabbages
14efb558859e4a2fbcc246a0ff865a27,cabbage serpentine leafminer
519c5b0ae5814e4d9b3728bbbc1e49f3,turnip aphid
4da9c2ad918442c5a803d8e1a74166f9,corn earworm
4da9c2ad918442c5a803d8e1a74166f9,tomato fruitworm
caa48e96def94b7294b950381fed2c8e,oriental cabbage webworm
7138fd97430347cfb30981a565cd7f11,diamondback moth
839fc372506c4b22ae8aedf1087c192b,cabbage cluster caterpillar
774871f64faa4eeda665491a325ea2e6,Cassava
ccc4deff98d247888c11b092d82b9f39,spider mite
125b6f0969154948beed00957d5f117d,spider mite
fd0b237754c44aa9a55ca71dd9b00d16,nigra scale
519e9b80bc78446b9fd1ab66d66a4042,mealybug
957df5ccc7dc4bb6bb7ae91e9c2f661e,Cocoa
92abb396bc114b739ff7c7cf2bdee664,shot-hole borer
8e047a99f2124c238a497d085510a8dd,cacao spotted long-horned beetle
14713e9371134a6282c9ae796fb7a2ee,leaf beetle
135372e44d6348efa478d565b5860bfc,black twig borer
74790aac7be0475ca1d29c3d710669e4,derbid hopper
db142c20388d41d096971834c0c2cd27,black citrus aphid
a8bf1d56ff6144e6bdfedfc18125b65c,cacao armyworm
53ced460a83e4d85870479a4da3c042d,Coconut palm
7b7e14f767a2452c8a3422078af4b59a,pohnpei coconut leaf beetle
99c812f2dab948c6b72aef1d7e5d76b9,mariana coconut leaf beetle
eeac1582f5004b9984c80b0b36b2de21,palau coconut leaf beetle
15db1890ad524c11a8f70f67cec1147f,coconut long-horned beetle
101f870b11664a3c9a9001d6c07c3a92,new guinea sugarcane weevil
00b0c08a48e04bcea23fc3371f7e5acd,strangulate weevil
5795e4a8f77843c285e2036a6daa3c33,sugarcane weevil borer
b2cc61bf0e754acabf1e806c5c8d538e,aphid
c484b53cd98b435983d214d6df609521,palau coconut whitefly
0f271443b941429f8d430a24283031a4,spiralling whitefly
4c9fc88c22ba4a4fb10d678f9cec8ee3,false yellow scale
231cf67b5ea54426ad6a275369de7b1d,scale
6d0023f708444ff7b5ded6a90f964bcd,armored scale
ccf6673e9cb74e71abcba5b22b115f7e,derbid planthopper
d3e144f71d0241118d4ce501a2ec5a1f,spittlebug
7e58af451a344680acf43fc47ced530e,kamani psyllid
f4e1a7510bf34d83a0060481a475cbba,guam mealybug
777740dd976c4681abfd46c90825de70,coconut red scale
