canonical_form,classification_path,classification_path_ids,classification_path_ranks,current_name_string,current_taxon_id,data_source_id,data_source_title,data_sources_number,edit_distance,global_id,gni_uuid,imported_at,in_curated_sources,is_known_name,local_id,match_type,match_value,name_string,prescore,score,supplied_name_string,taxon_id,url
Pseudococcus macrocirculus,Animalia|Arthropoda|Insecta|Hemiptera|Pseudococcidae|Pseudococcus|Pseudococcus macrocirculus,1|54|216|809|4534|2081087|2095250,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,0,,ab74aff3-c1d1-57b9-a6aa-88f939da0d05,2016-11-13T20:21:30Z,True,True,,2,Exact match by canonical form,"Pseudococcus macrocirculus Beardsley, 1966",3|0|0,0.988,Agave sisalana,2095250,
Lycopersicon esculentum,Plantae|Tracheophyta|Magnoliopsida|Solanales|Solanaceae|Solanum|Solanum lycopersicum,6|7707728|220|1176|7717|2928997|2930137,kingdom|phylum|class|order|family|genus|species,Solanum lycopersicum L.,2930137,11,GBIF Backbone Taxonomy,24,0,,e11c5710-8774-568f-a333-1b88777a51b6,2016-11-13T22:34:09Z,True,True,,2,Exact match by canonical form,Lycopersicon esculentum Mill.,3|0|0,0.988,Agave sisalana,2930181,
Cyrtopeltis tenuis,Animalia|Arthropoda|Insecta|Hemiptera|Miridae|Nesidiocoris|Nesidiocoris tenuis,1|54|216|809|4319|2009188|2009189,kingdom|phylum|class|order|family|genus|species,"Nesidiocoris tenuis (Reuter, 1895)",2009189,11,GBIF Backbone Taxonomy,24,0,,442c652e-2a80-53ff-830b-de5b0e366fe4,2016-11-13T19:50:49Z,True,True,,2,Exact match by canonical form,"Cyrtopeltis tenuis Reuter, 1895",3|0|0,0.988,Agave sisalana,2009190,
Nesophrosyne argentatus,Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Nesophrosyne|Nesophrosyne argentatus,1|54|216|809|9647|2045002|4775334,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,0,,d3db72f8-cfba-57e9-a143-fb4ed85e6397,2016-11-13T19:13:35Z,True,True,,1,Exact string match,Nesophrosyne argentatus,3|0|0,0.988,Agave sisalana,4775334,
Terminalia,Plantae|Tracheophyta|Magnoliopsida|Myrtales|Combretaceae|Terminalia,6|7707728|220|690|2431|3189387,kingdom|phylum|class|order|family|genus,,,11,GBIF Backbone Taxonomy,24,0,,f921c732-be77-558d-ab0c-393c6349f275,2016-11-13T20:26:05Z,True,True,,2,Exact match by canonical form,Terminalia L.,1|0|0,0.75,Agave sisalana,3189387,
Trigonops,Animalia|Arthropoda|Insecta|Coleoptera|Curculionidae|Trigonops,1|54|216|1470|4239|1225109,kingdom|phylum|class|order|family|genus,,,11,GBIF Backbone Taxonomy,24,0,,649f72d6-ea2c-5ac3-a7be-7666b8910b43,2016-11-13T19:58:08Z,True,True,,6,Could only match genus,"Trigonops Guérin-Ménéville, 1841",1|0|0,0.75,Agave sisalana,1225109,
Dialeurodes kirkaldyi,Animalia|Arthropoda|Insecta|Hemiptera|Aleyrodidae|Dialeurodes|Dialeurodes kirkaldyi,1|54|216|809|4304|2012140|2012142,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,0,,c7540bd8-5682-59a4-afc1-067087f87508,2016-11-13T19:13:19Z,True,True,,2,Exact match by canonical form,"Dialeurodes kirkaldyi (Kotinsky, 1907)",3|0|0,0.988,Agave sisalana,2012142,
Badamia exclamationis,Animalia|Arthropoda|Insecta|Lepidoptera|Hesperiidae|Badamia|Badamia exclamationis,1|54|216|797|6953|1946375|5142067,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,0,,bebdcf11-d898-52bf-a3b3-c6001f9485de,2016-11-13T22:27:48Z,True,True,,2,Exact match by canonical form,"Badamia exclamationis Fabricius, 1775",3|0|0,0.988,Agave sisalana,5142067,
Anua coronata,Animalia|Arthropoda|Insecta|Lepidoptera|Noctuidae|Anua|Anua coronata,1|54|216|797|7015|1779462|1779516,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,0,,e3d8d4a6-269e-5286-aedc-65688d986d0b,2016-11-13T23:02:09Z,True,True,,2,Exact match by canonical form,"Anua coronata Fabricius, 1775",3|0|0,0.988,Agave sisalana,1779516,
Psophocarpus tetragonolobus,Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Psophocarpus|Psophocarpus tetragonolobus,6|7707728|220|1370|5386|2944679|2944683,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,2,,2314c5f5-6c5b-53ad-87c5-0cd34e6cfa8c,2016-11-13T19:36:51Z,True,True,,3,Fuzzy match by canonical form,Psophocarpus tetragonolobus (L.) DC.,1|0|0,0.75,Agave sisalana,2944683,
Tetranychus neocaledonicus,Animalia|Arthropoda|Arachnida|Prostigmata|Tetranychidae|Tetranychus|Tetranychus neocaledonicus,1|54|367|372|6057|2130777|2130146,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,0,,9dd2f300-6251-50f2-bc5b-9220ad6bcd93,2016-11-13T19:48:27Z,True,True,,2,Exact match by canonical form,"Tetranychus neocaledonicus André, 1933",3|0|0,0.988,Agave sisalana,2130146,
Dioscorea,Plantae|Tracheophyta|Liliopsida|Dioscoreales|Dioscoreaceae|Dioscorea|Dioscorea,6|7707728|196|1171|7694|2754367|8223036,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,0,,faa8a337-c0ec-56a0-bdd3-98c460aafef3,2016-11-13T22:00:09Z,True,True,,1,Exact string match,Dioscorea,1|0|0,0.75,Agave sisalana,8223036,
Theretra nessus,Animalia|Arthropoda|Insecta|Lepidoptera|Sphingidae|Theretra|Theretra nessus,1|54|216|797|8868|1862420|1862475,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,0,,8233044b-5b66-5cfb-9f17-06af389289d9,2016-11-13T22:55:47Z,True,True,,2,Exact match by canonical form,"Theretra nessus Drury, 1773",3|0|0,0.988,Agave sisalana,1862475,
