accepted,acceptedKey,authorship,basionym,basionymKey,canonicalName,class,classKey,constituentKey,datasetKey,family,familyKey,genus,genusKey,issues,key,kingdom,kingdomKey,lastCrawled,lastInterpreted,modified,nameKey,nameType,nomenclaturalStatus,nubKey,numDescendants,order,orderKey,origin,parent,parentKey,phylum,phylumKey,rank,remarks,scientificName,sourceTaxonKey,species,speciesKey,synonym,taxonID,taxonomicStatus,verbatimScientificName
,," (Douglas, 1887)",,,Coccus longulus,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Coccidae,6963.0,Coccus,2049629.0,['ORIGINAL_NAME_DERIVED'],8202676,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:30:56.404+0000,,2663921,SCIENTIFIC,[],,0,Hemiptera,809,SOURCE,Coccus,2049629,Arthropoda,54,SPECIES,,"Coccus longulus (Douglas, 1887)",110087896,Coccus longulus,8202676.0,False,gbif:8202676,ACCEPTED,Coccus longulus
,," (Signoret, 1873)",,,Eucalymnatus tessellatus,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Coccidae,6963.0,Eucalymnatus,2091522.0,['ORIGINAL_NAME_DERIVED'],2091537,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:31:02.392+0000,,4187139,SCIENTIFIC,[],2091537.0,0,Hemiptera,809,SOURCE,Eucalymnatus,2091522,Arthropoda,54,SPECIES,,"Eucalymnatus tessellatus (Signoret, 1873)",110088244,Eucalymnatus tessellatus,2091537.0,False,gbif:2091537,ACCEPTED,Eucalymnatus tessellatus
,," (Signoret, 1869)",,,Hemiberlesia lataniae,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Diaspididae,4521.0,Hemiberlesia,2083865.0,['ORIGINAL_NAME_DERIVED'],2083970,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:31:39.538+0000,,5103856,SCIENTIFIC,[],2083970.0,0,Hemiptera,809,SOURCE,Hemiberlesia,2083865,Arthropoda,54,SPECIES,,"Hemiberlesia lataniae (Signoret, 1869)",110094713,Hemiberlesia lataniae,2083970.0,False,gbif:2083970,ACCEPTED,Hemiberlesia lataniae
,,"Signoret, 1869",,,Aspidiotus destructor,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Diaspididae,4521.0,Aspidiotus,5161675.0,['ORTHOGRAPHIC_VARIANT'],5161683,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:31:41.391+0000,,1063654,SCIENTIFIC,[],5161683.0,0,Hemiptera,809,SOURCE,Aspidiotus,5161675,Arthropoda,54,SPECIES,"Possible variant of Aspidiotus destructor Cockerell in Fernald, 1903","Aspidiotus destructor Signoret, 1869",110091371,Aspidiotus destructor,5161683.0,False,gbif:5161683,ACCEPTED,Aspidiotus destructor
,," (Targioni Tozzetti, 1867)",,,Pseudococcus longispinus,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Pseudococcidae,4534.0,Pseudococcus,2081087.0,['ORIGINAL_NAME_DERIVED'],2095283,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:31:46.327+0000,,9342966,SCIENTIFIC,[],2095283.0,0,Hemiptera,809,SOURCE,Pseudococcus,2081087,Arthropoda,54,SPECIES,,"Pseudococcus longispinus (Targioni Tozzetti, 1867)",110106852,Pseudococcus longispinus,2095283.0,False,gbif:2095283,ACCEPTED,Pseudococcus longispinus
,,"Maskell, 1897",,,Icerya seychellarum,Insecta,216,0938172b-2086-439c-a1dd-c21cb0109ed5,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Margarodidae,8651.0,Icerya,2080538.0,[],4484675,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:31:05.752+0000,,5526075,SCIENTIFIC,[],4484675.0,0,Hemiptera,809,SOURCE,Icerya,2080538,Arthropoda,54,SPECIES,,"Icerya seychellarum Maskell, 1897",107120937,Icerya seychellarum,4484675.0,False,gbif:4484675,ACCEPTED,Icerya seychellarum
"Oceanaspidiotus spinosus (Comstock, 1883)",7688159.0,"Leonardi, 1898",,,Aspidiotus spinosus,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Diaspididae,4521.0,Oceanaspidiotus,2083618.0,[],5161521,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:31:42.534+0000,,1064526,SCIENTIFIC,[],5161521.0,0,Hemiptera,809,SOURCE,Oceanaspidiotus,2083618,Arthropoda,54,SPECIES,,"Aspidiotus spinosus Leonardi, 1898",110096757,Oceanaspidiotus spinosus,7688159.0,True,gbif:5161521,SYNONYM,Aspidiotus spinosus
,," (Douglas, 1890)",,,Icerya aegyptiaca,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Margarodidae,8651.0,Icerya,2080538.0,['ORIGINAL_NAME_DERIVED'],2080604,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:31:05.726+0000,,5525663,SCIENTIFIC,[],2080604.0,0,Hemiptera,809,SOURCE,Icerya,2080538,Arthropoda,54,SPECIES,,"Icerya aegyptiaca (Douglas, 1890)",110102045,Icerya aegyptiaca,2080604.0,False,gbif:2080604,ACCEPTED,Icerya aegyptiaca
,," (Giard, 1901)","Physopus rubrocinctus Giard, 1901",5815095.0,Selenothrips rubrocinctus,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Thripidae,4387.0,Selenothrips,1420800.0,['ORIGINAL_NAME_DERIVED'],1420801,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:42:12.423+0000,,10273292,SCIENTIFIC,[],1420801.0,0,Thysanoptera,1228,SOURCE,Selenothrips,1420800,Arthropoda,54,SPECIES,,"Selenothrips rubrocinctus (Giard, 1901)",110695458,Selenothrips rubrocinctus,1420801.0,False,gbif:1420801,ACCEPTED,Selenothrips rubrocinctus
,,Schreb.,,,Bambusa,Liliopsida,196,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Poaceae,3073.0,Bambusa,2705751.0,[],2705751,Plantae,6,2016-07-25T16:54:25.896+0000,2016-07-25T16:44:00.098+0000,,1330032,SCIENTIFIC,[],2705751.0,218,Poales,1369,SOURCE,Poaceae,3073,Tracheophyta,7707728,GENUS,,Bambusa Schreb.,121254205,,,False,gbif:2705751,ACCEPTED,Bambusa
,,"Burmeister, 1844",,,Anomala sulcatula,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Rutelidae,4425773.0,Anomala,1051129.0,[],5988462,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:36:52.121+0000,,707536,SCIENTIFIC,[],5988462.0,0,Coleoptera,1470,SOURCE,Anomala,1051129,Arthropoda,54,SPECIES,,"Anomala sulcatula Burmeister, 1844",117417083,Anomala sulcatula,5988462.0,False,gbif:5988462,ACCEPTED,Anomala sulcatula
,," (Fabricius, 1787)",,,Chlorophorus annularis,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Cerambycidae,5602.0,Chlorophorus,1111662.0,[],1111797,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:38:40.214+0000,,2411624,SCIENTIFIC,[],1111797.0,0,Coleoptera,1470,SOURCE,Chlorophorus,1111662,Arthropoda,54,SPECIES,,"Chlorophorus annularis (Fabricius, 1787)",116001821,Chlorophorus annularis,1111797.0,False,gbif:1111797,ACCEPTED,Chlorophorus annularis
,," (Usinger, 1946)",,,Pseudoloxops bifasciatus,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Miridae,4319.0,Pseudoloxops,2009239.0,['ORIGINAL_NAME_DERIVED'],7845604,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:29:28.666+0000,,9362651,SCIENTIFIC,[],,0,Hemiptera,809,SOURCE,Pseudoloxops,2009239,Arthropoda,54,SPECIES,,"Pseudoloxops bifasciatus (Usinger, 1946)",115741771,Pseudoloxops bifasciatus,7845604.0,False,gbif:7845604,ACCEPTED,Pseudoloxops bifasciatus
,,"Green, 1908",,,Asterolecanium robustum,Insecta,216,9ca92552-f23a-41a8-a140-01abaa31c931,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Asterolecaniidae,3265514.0,Asterolecanium,2089594.0,[],4290164,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:28:59.049+0000,,1107858,SCIENTIFIC,[],4290164.0,0,Hemiptera,809,SOURCE,Asterolecanium,2089594,Arthropoda,54,SPECIES,,"Asterolecanium robustum Green, 1908",101866799,Asterolecanium robustum,4290164.0,False,gbif:4290164,ACCEPTED,Asterolecanium robustum
,," (Boisduval, 1869)",,,Asterolecanium bambusae,Insecta,216,9ca92552-f23a-41a8-a140-01abaa31c931,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Asterolecaniidae,3265514.0,Asterolecanium,2089594.0,['ORIGINAL_NAME_DERIVED'],4290165,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:28:59.041+0000,,1107642,SCIENTIFIC,[],4290165.0,0,Hemiptera,809,SOURCE,Asterolecanium,2089594,Arthropoda,54,SPECIES,,"Asterolecanium bambusae (Boisduval, 1869)",101866786,Asterolecanium bambusae,4290165.0,False,gbif:4290165,ACCEPTED,Asterolecanium bambusae
,,"Green, 1922",,,Asterolecanium pseudomiliaris,Insecta,216,9ca92552-f23a-41a8-a140-01abaa31c931,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Asterolecaniidae,3265514.0,Asterolecanium,2089594.0,[],4290167,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:28:59.047+0000,,1107761,SCIENTIFIC,[],4290167.0,0,Hemiptera,809,SOURCE,Asterolecanium,2089594,Arthropoda,54,SPECIES,,"Asterolecanium pseudomiliaris Green, 1922",101866794,Asterolecanium pseudomiliaris,4290167.0,False,gbif:4290167,ACCEPTED,Asterolecanium pseudomiliaris
